,NR_TURNO,NM_UE,CD_CARGO,DS_CARGO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SITUACAO_LEGENDA,DS_SITUACAO,NM_TIPO_DESTINACAO_VOTOS
0,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,44,UNIÃO,UNIÃO BRASIL,-1,#NULO#,#NULO#,#NULO#,250001681143,#NULO#,UNIÃO,D,DEFERIDO,Válido (legenda)
4,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,11,PP,PROGRESSISTAS,-1,#NULO#,#NULO#,#NULO#,250001681607,#NULO#,PP,D,DEFERIDO,Válido (legenda)
30,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,35,PMB,PARTIDO DA MULHER BRASILEIRA,-1,#NULO#,#NULO#,#NULO#,250001682984,#NULO#,PMB,D,DEFERIDO,Válido (legenda)
53,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681484,#NULO#,MDB,D,DEFERIDO,Válido (legenda)
54,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,-1,#NULO#,#NULO#,#NULO#,250001683082,#NULO#,PDT,D,DEFERIDO,Válido (legenda)
55,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,77,SOLIDARIEDADE,SOLIDARIEDADE,-1,#NULO#,#NULO#,#NULO#,250001681318,#NULO#,SOLIDARIEDADE,D,DEFERIDO,Válido (legenda)
58,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,36,AGIR,AGIR,-1,#NULO#,#NULO#,#NULO#,250001685371,#NULO#,AGIR,D,DEFERIDO,Válido (legenda)
68,1,SÃO PAULO,7,DEPUTADO ESTADUAL,FEDERAÇÃO,43,PV,PARTIDO VERDE,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,250001681589,#NULO#,PT/PC do B/PV,D,DEFERIDO,Válido (legenda)
75,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,-1,#NULO#,#NULO#,#NULO#,250001681264,#NULO#,PSD,D,DEFERIDO,Válido (legenda)
76,1,SÃO PAULO,7,DEPUTADO ESTADUAL,FEDERAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,250001681589,#NULO#,PT/PC do B/PV,D,DEFERIDO,Válido (legenda)
80,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,70,AVANTE,AVANTE,-1,#NULO#,#NULO#,#NULO#,250001682281,#NULO#,AVANTE,D,DEFERIDO,Válido (legenda)
81,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,27,DC,DEMOCRACIA CRISTÃ,-1,#NULO#,#NULO#,#NULO#,250001684513,#NULO#,DC,D,DEFERIDO,Válido (legenda)
82,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,-1,#NULO#,#NULO#,#NULO#,250001683054,#NULO#,PMN,D,DEFERIDO,Válido (legenda)
88,1,SÃO PAULO,7,DEPUTADO ESTADUAL,FEDERAÇÃO,23,CIDADANIA,CIDADANIA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681575,#NULO#,PSDB/CIDADANIA,D,DEFERIDO,Válido (legenda)
90,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,80,UP,UNIDADE POPULAR,-1,#NULO#,#NULO#,#NULO#,250001681141,#NULO#,UP,D,DEFERIDO,Válido (legenda)
93,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,10,REPUBLICANOS,REPUBLICANOS,-1,#NULO#,#NULO#,#NULO#,250001682797,#NULO#,REPUBLICANOS,D,DEFERIDO,Válido (legenda)
