CD_CARGO,SQ_CANDIDATO,NM_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_COR_RACA,DS_COR_RACA,CD_OCUPACAO,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_REELEICAO,ST_DECLARAR_BENS,NR_PROTOCOLO_CANDIDATURA,NR_PROCESSO,CD_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_PLEITO,CD_SITUACAO_CANDIDATO_URNA,DS_SITUACAO_CANDIDATO_URNA,ST_CANDIDATO_INSERIDO_URNA,NM_TIPO_DESTINACAO_VOTOS,CD_SITUACAO_CANDIDATO_TOT,DS_SITUACAO_CANDIDATO_TOT,ST_PREST_CONTAS,ST_SUBSTITUIDO,SQ_SUBSTITUIDO,SQ_ORDEM_SUPLENCIA,DT_ACEITE_CANDIDATURA
7,250001721356,ROSIMEIRE SANTOS CESCHINI,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,36,AGIR,AGIR,-1,#NULO#,#NULO#,#NULO#,250001685371,PARTIDO ISOLADO,AGIR,50.0,4,FEMININO,8,SUPERIOR COMPLETO,5,VIÚVO(A),3,PARDA,999,OUTROS,1270629.01,4,NÃO ELEITO,N,S,-1,6040269120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,15/08/2022 14:10:02
7,250001610506,MARIA APARECIDA BORGES DE MACEDO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,19,PODE,PODEMOS,-1,#NULO#,#NULO#,#NULO#,250001681521,PARTIDO ISOLADO,PODE,50.0,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,SOLTEIRO(A),2,PRETA,176,COZINHEIRO,1270629.01,5,SUPLENTE,N,N,-1,6012900320226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,84,08/08/2022 15:28:51
6,250001643887,DANIEL DE ANDRADE VIEIRA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,20,PSC,PARTIDO SOCIAL CRISTÃO,-1,#NULO#,#NULO#,#NULO#,250001683090,PARTIDO ISOLADO,PSC,54.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),3,PARDA,131,ADVOGADO,3176572.53,5,SUPLENTE,N,S,-1,6033513120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,20,11/08/2022 20:10:01
7,250001642213,ALEIXO ANDRE MANOEL NETO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,35,PMB,PARTIDO DA MULHER BRASILEIRA,-1,#NULO#,#NULO#,#NULO#,250001682984,PARTIDO ISOLADO,PMB,53.0,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,9,DIVORCIADO(A),2,PRETA,233,POLICIAL MILITAR,1270629.01,4,NÃO ELEITO,N,S,-1,6029477720226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,11/08/2022 19:35:05
6,250001597671,ADRIANA MIGUEL VENTURA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,-1,#NULO#,#NULO#,#NULO#,250001680945,PARTIDO ISOLADO,NOVO,53.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,142,PROFESSOR DE ENSINO SUPERIOR,3176572.53,2,ELEITO POR QP,S,S,-1,6003183320226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,28/07/2022 17:05:52
7,250001609955,EDIMAR CANDIDO DE LIMA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681484,PARTIDO ISOLADO,MDB,47.0,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,1,SOLTEIRO(A),3,PARDA,278,VEREADOR,1270629.01,5,SUPLENTE,N,S,-1,6009895620226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,35,08/08/2022 14:07:11
6,250001611240,JOÃO CURY NETO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681566,PARTIDO ISOLADO,MDB,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,999,OUTROS,3176572.53,5,SUPLENTE,N,S,-1,6013662720226260000,4,INDEFERIDO COM RECURSO,4,INDEFERIDO COM RECURSO,SIM,Válido,2,Deferido,S,N,-1,1,08/08/2022 17:12:38
6,250001635955,CELSO LUIZ PEREIRA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,35,PMB,PARTIDO DA MULHER BRASILEIRA,-1,#NULO#,#NULO#,#NULO#,250001682646,PARTIDO ISOLADO,PMB,55.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,298,SERVIDOR PÚBLICO MUNICIPAL,3176572.53,4,NÃO ELEITO,N,S,-1,6028048820226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,11/08/2022 12:35:01
7,250001614952,LUIS FERNANDO DA SILVA,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681750,PARTIDO ISOLADO,PTB,40.0,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,1,SOLTEIRO(A),2,PRETA,999,OUTROS,1270629.01,4,NÃO ELEITO,N,N,-1,6022055220226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,09/08/2022 16:27:56
6,250001620711,JOSÉ ROBERTO DE CASTRO,12,APTO,2,DEFERIDO,PARTIDO ISOLADO,51,PATRIOTA,PATRIOTA,-1,#NULO#,#NULO#,#NULO#,250001682231,PARTIDO ISOLADO,PATRIOTA,66.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,921,MILITAR REFORMADO,3176572.53,4,NÃO ELEITO,N,S,-1,6025112120226260000,2,DEFERIDO,2,DEFERIDO,SIM,Válido,2,Deferido,S,N,-1,-1,10/08/2022 15:54:40
