SQ_CANDIDATO,CD_FONTE_RECEITA,DS_FONTE_RECEITA,CD_ORIGEM_RECEITA,DS_ORIGEM_RECEITA,VR_RECEITA
250001597662,1,OUTROS RECURSOS,10010100,Recursos próprios,1400.0
250001597662,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,190.0
250001597662,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597662,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,20.0
250001597663,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,5712.5
250001597663,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597663,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1210.0
250001597663,1,OUTROS RECURSOS,10040000,Recursos de outros candidatos,4410.0
250001597664,1,OUTROS RECURSOS,10010100,Recursos próprios,3900.0
250001597664,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,500.0
250001597664,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597665,1,OUTROS RECURSOS,10010100,Recursos próprios,7835.0
250001597665,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,9000.0
250001597665,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597666,1,OUTROS RECURSOS,10010100,Recursos próprios,3150.01
250001597666,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,6000.0
250001597666,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597667,1,OUTROS RECURSOS,10010100,Recursos próprios,6000.41
250001597667,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597667,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1140.0
250001597668,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597668,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1150.0
250001597669,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,280.0
250001597669,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597669,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,3220.0
250001597670,1,OUTROS RECURSOS,10010100,Recursos próprios,1474.1
250001597670,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597670,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1410.0
250001597671,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,954467.7
250001597671,1,OUTROS RECURSOS,10020000,Recursos de partido político,46841.53
250001597671,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,34539.28
250001597672,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,500.0
250001597672,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597673,1,OUTROS RECURSOS,10010100,Recursos próprios,1500.0
250001597673,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597673,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,150.0
250001597674,1,OUTROS RECURSOS,10010100,Recursos próprios,6150.0
250001597674,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,973788.6699999999
250001597674,1,OUTROS RECURSOS,10020000,Recursos de partido político,43241.53
250001597674,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,43623.3
250001597675,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597676,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,1100.0
250001597676,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597676,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,900.0
250001597677,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597677,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,810.0
250001597678,1,OUTROS RECURSOS,10010100,Recursos próprios,1565.55
250001597678,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,2000.0
250001597678,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597678,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,700.0
250001597679,1,OUTROS RECURSOS,10010100,Recursos próprios,2500.0
250001597679,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,2150.0
250001597679,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597680,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597681,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,1880.0
250001597681,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597681,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,240.0
250001597682,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,1691.8600000000001
250001597682,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597682,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,380.0
250001597683,1,OUTROS RECURSOS,10010100,Recursos próprios,2657.0
250001597683,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,13640.0
250001597683,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597683,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,2075.0
250001597683,1,OUTROS RECURSOS,10040000,Recursos de outros candidatos,6000.0
250001597684,-1,OUTROS RECURSOS,-1,#NULO#,0.0
250001597685,1,OUTROS RECURSOS,10010100,Recursos próprios,1650.0
250001597685,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597685,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1020.0
250001597686,1,OUTROS RECURSOS,10010100,Recursos próprios,4000.0
250001597686,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,0.1
250001597686,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597687,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597687,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,85.0
250001597688,1,OUTROS RECURSOS,10010100,Recursos próprios,58675.0
250001597688,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,350.0
250001597688,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597688,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,1670.0
250001597688,1,OUTROS RECURSOS,10040000,Recursos de outros candidatos,2000.0
250001597689,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597690,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,1000.0
250001597690,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597691,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,18284.0
250001597691,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597691,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,5830.0
250001597691,1,OUTROS RECURSOS,10040000,Recursos de outros candidatos,2000.0
250001597692,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597692,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,4438.0
250001597693,1,OUTROS RECURSOS,10010100,Recursos próprios,1450.0
250001597693,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,1800.0
250001597693,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597694,1,OUTROS RECURSOS,10010100,Recursos próprios,8595.0
250001597694,1,OUTROS RECURSOS,10010200,Recursos de pessoas físicas,12728.56
250001597694,1,OUTROS RECURSOS,10020000,Recursos de partido político,1241.5300000000002
250001597694,1,OUTROS RECURSOS,10020500,Recursos de Financiamento Coletivo,4951.0
250001597695,1,OUTROS RECURSOS,10010100,Recursos próprios,50000.0
