SQ_CANDIDATO,NM_VOTAVEL,QT_VOTOS
250001597662,TONY VINICIUS DE OLIVEIRA,536
250001597663,RENATO MOTTA BICUDO GUIMARÃES E SILVA,497
250001597664,CESAR MAX DE LIMA VIEIRA,622
250001597665,THIAGO IMBERNOM,863
250001597666,HELCIO FREIRE DO CARMO,641
250001597667,VLADIMIR FRANCISCHINELLI ARRUDA LEITE,1345
250001597668,VINICIUS MANGABEIRA CARINI,570
250001597669,ADAMARIO MAXIMO DOS SANTOS FILHO,2597
250001597670,ADILSON DE BRITO FARIAS,1429
250001597671,ADRIANA MIGUEL VENTURA,109474
250001597672,ALESSANDRA REGINA VERGILIO,793
250001597673,ALEXANDRE MENDES PINHEIRO,704
250001597674,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,20963
250001597675,CAIO BIANCHI BECHARA,265
250001597676,CELSO HENRIQUE DE OLIVEIRA,878
250001597677,CIBELE FRANCO NAZARETH,534
250001597678,CLEVERSON FIUZA ALVES,641
250001597679,SANDRA CAMARINHO DE MACEDO,595
250001597680,DEMÉTRIUS ALVES CABRAL FILHO,16
250001597681,ANA LUIZA HATIKIAN NEGRAO PASSOS,748
250001597682,ANDRÉA DE OLIVEIRA MORAES,1176
250001597683,ANTONIO CARLOS DA MOTTA,1143
250001597685,DANILO DA CUNHA BARBOSA,279
250001597686,SIDNEY CARVALHO ELIAS,636
250001597687,SUELEN DE SOUZA LAZARINI,309
250001597688,WALTER FERNANDES DA SILVA,1032
250001597690,JÚLIO CÉSAR GUIDETTE LUCANTE SALDANHA,139
250001597691,LILIAN MARIA COSTA MANSUR ANDRADE,2943
250001597692,HUMBERTO JANTIM NETO,1398
250001597693,DANILO HENRIQUE PEREIRA DAVID,1526
250001597694,JANAINA MACEDO CALVO,1959
250001597695,MARINA HELENA CUNHA PEREIRA SANTOS,50073
250001597696,DOUGLAS VIEIRA PRIMO,170
250001597697,JANIEIRE MARIA SILVA,292
250001597698,MARCOS ANTONIO DE CARVALHO LUCAS,3728
250001597699,MAURICIO RAPPA SANTOS,5557
250001597700,MONICA ROSENBERG BRAIZAT,11655
250001597701,PAULO PROIETI,2368
250001597702,MARLI GOMES DO CARMO,1121
250001597703,RICARDO DE CAMPOS RAMOS,791
250001597704,RODRIGO TAVANO,3975
250001597705,DOUGLAS YUGI KOGA,5124
250001597706,FABIO APARECIDO PLACIDO,158
250001597707,FÁBIO ISSA ZAN,2474
250001597708,FABIO RENATO DE SOUSA FERREIRA,570
250001597709,FATIMA REGINA PORTELLA OLIVEIRA,1842
250001597710,FERNANDO HOLIDAY SILVA BISPO,38118
250001597711,JARBAS EMÍLIO DE MORAES NETO,67
250001597712,JOSE ANDRE FERNANDES,748
250001597713,MARCO ANTONIO DE SOUZA PINTO,561
250001597714,MARIA DE FÁTIMA PAULA BAULÉ,1043
250001597715,MARILZA DE FATIMA RUFINO,110
250001597716,PAULO EDUARDO BRAZILINO,343
250001597717,PAULO RAMOS BORGES PINTO VIOLARO,723
250001597718,PEDRO AUGUSTO LIA TEDDE,7873
250001597719,BRUNA KARINI DA SILVA,763
250001597720,THIAGO BONFIM DE OLIVEIRA,291
250001597721,RAFAEL DOS ANJOS SILVA,467
250001597722,RODRIGO ANDRADE BENUZZI DA LUZ,255
250001597724,PEDRO LUIS VAZ DE LIMA MATTOS,1151
250001602017,ISIS MUSTAFÁ DE ASSIS,21017
250001602024,JOSE ROBERTO BARBOSA DE SOUZA,2350
250001602025,MANOEL DAVID KORN DE CARVALHO,2171
250001602026,JAQUELINE DOMINGOS SAVIO MARTINS DO NASCIMENTO,606
250001602027,CAIO AUGUSTO SILVA DOS SANTOS,10386
250001602028,ELZA NUNES MACHADO GALVÃO,5137
250001602029,ALEXANDRE MANOEL LEME,1242
250001602030,ROSANGELA MARIA WOLFF DE QUADROS MORO,217170
250001602031,DEBORA ELOISA JUSTINO,4992
250001602032,FABIO DIAS DE OLIVEIRA,14786
250001602033,NERIA LUCIO BUZATTO,3155
250001602034,JANDIRA DE MENEZES CREPALDI,248
250001602035,EDIVAM CAMPOS DE ALBUQUERQUE,8257
250001602036,ALEXANDRE LEITE DA SILVA,192806
250001602037,FELIPE BECARI COMENALE,178777
250001602038,LAIR MOURA SALA MALAVILA JUSEVICIUS,8690
250001602039,GIVANILSE DOS SANTOS,13430
250001602040,JULIANA DE PAULA LOURO TENÓRIO,2137
250001602041,JOSE CARLOS OROSCO,23224
250001602042,LUIS ANTONIO DE LIMA CLEMENTE,1744
250001602043,ESTER LOPES DE SOUZA FLOR,5099
250001602044,MARCELA DE CARVALHO NORA,3235
250001602045,FERNANDO CAPEZ,40346
250001602046,ANTONIO GOULART DOS REIS,42365
250001602047,RAQUEL VIEIRA DOS SANTOS,1492
250001602048,KIM PATROCA KATAGUIRI,295460
250001602049,LIGIA LIMA DOS SANTOS,2936
250001602050,CAROLINE DO AMPARO CERQUEIRA,4258
250001602051,ALEX MACEDO DE SOUZA,1619
250001602052,JOSÉ ADÃO DA COSTA,3091
250001602053,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,17589
250001602054,ALEX DOS REIS,1759
250001602056,DAVID BEZERRA RIBEIRO SOARES,93831
250001602057,LUSINEIDE NEVES BARRETO,1102
250001602058,MAYRA LARISSA COSTA MIRANDA,1530
250001602059,RODRIGO MEIRA BRITO,3674
250001602061,MARCOS GUERRA,818
250001602062,INES NANY RODRIGUES DA SILVA,1785
250001602063,SILVIO FELIX DA SILVA,9345
250001602064,RICARDO MURILO COGHI,10607
250001602066,ADRIANO ELI CORREA,59959
250001602067,DELBIO CAMARGO TERUEL,11304
250001602068,NICOLINO BOZZELLA JUNIOR,34545
250001602069,SANDRA REGINA CARBONE TADEU MUDALEN,26503
250001602070,NILSON BONOME,9636
250001602071,HAMILTON BERNARDES JUNIOR,44125
250001602072,CLOVIS BASILIO DOS SANTOS,10312
250001602073,EDUARDO SANASSAR FONSECA,637
250001602074,MARIA AUGUSTA FERREIRA FONSECA,358
250001602075,DOUGLAS DE PAULO VIEGAS,76149
250001602076,PAULO SERGIO SOARES DA SILVA,2204
250001602077,REINALDO DE SOUZA ALGUZ,62666
250001602078,JEFFERSON LUIZ PEREIRA DA SILVA,1123
250001602079,FERNANDO JOSE DE SOUZA MARANGONI,89390
250001602080,PAULO SERGIO ABOU ANNI,39013
250001604811,VALDEMAR SILVA,2656
250001604812,DENILSON MIOTTO,575
250001604813,MARCIA REGINA ALVES GONCALVES,1408
250001604814,ADRIANA RAMOS AFONSO EL RIFAI,1595
250001604815,ANDERSON GONDIM SAMPAIO,267
250001604816,ANDRE LUIS RAMOS PEDROSO,9106
250001604817,DANILA CINTIA AZEVEDO DE OLIVEIRA,2676
250001604818,MUNIR WAHHAB,756
250001604819,MARCIA BUENO DA SILVA,264
250001604821,OSMAR BENEDITO PRIANTE,1316
250001604822,ROSINETE DA SILVA MOREIRA,220
250001604824,MARCILIO DUARTE LIMA,207
250001604825,FLAVIANE MENESES AQUINO,1059
250001604826,BRUNO MADEIRA DE CARVALHO,1581
250001604827,EDUARDO COSENTINO DA CUNHA,5044
250001604828,ANTONIO RAIMUNDO FEDOSSI,2295
250001604829,JOARLEY MOISES ALVES DOS SANTOS,5605
250001604830,DAISE MARIA PEREIRA SILVA,222
250001604831,CLAUDINEI DE OLIVEIRA BARBOSA,5531
250001604832,FERNANDO FERRARI MERIGLI,1631
250001604833,RUBENS NUSQUE JUNIOR,3750
250001604834,JOSE ANTONIO DE OLIVEIRA,2486
250001604835,NILSON JESPERSEN DE OLIVEIRA FRANCO,826
250001604836,SELMA RODRIGUES DANTAS MUNHOZ,826
250001604837,DANIEL MIGUEL,1520
250001604838,ITALO LORENZON NETO,4619
250001604839,WAGNER TADEU SILVA PRADO,9009
250001604840,WELDER DOUGLAS DA SILVA,3196
250001604841,RENATO TAMAIO DE SOUZA,347
250001604842,SILVIO ROMERO DE MAGALHAES LEITE,1442
250001604843,SILVANA MENK PINTO,318
250001604844,JURANDIR PEREIRA ALENCAR,740
250001604845,NEFI ANTONIO CASTRO TALES,749
250001604846,MIGUEL ANDERSON HEREDIA DE SÁ,614
250001604848,ELIAS GUIMARAES BORGES,79
250001604849,OSVALDO MACEDO NEGRÃO,2246
250001604850,NELIO FERNANDO DOS REIS,2155
250001604851,JUNIA CRISTINA LEME MACEDO,1311
250001604852,ROSEMEIRE MARTINS DE CARVALHO,1187
250001604853,CLAUDINEIA MOREIRA DE ALMEIDA,290
250001604854,RAFAEL ALMEIDA PRADO VALENTIM,2250
250001604855,ROBERTA CRISTINA RONCADA GASPAR,161
250001604856,VIVIANE BERGAMO MORGERO,201
250001604857,MICHAEL DELLA TORRE NETO,975
250001604858,LUCIANA RIBEIRO CASTELLAN,896
250001604859,JULIANA PINTO GONÇALVES,1301
250001604860,MARIA CELESTE JUSTA,289
250001604861,BOLIVAR FUNDÃO FILHO,402
250001604862,ALESSANDRA SOUZA VALIM,254
250001604863,LUIZ FRANCISCO TEIXEIRA,555
250001604864,MARCELO ROSSI DOS SANTOS,7612
250001604865,HUGO GOMES PAIVA,186
250001604866,RODRIGO PIERNAS ANDOLFATO,6644
250001604867,ADRILLES REIS JORGE,91485
250001604868,VERA LUCIA SERVONE PINTO,179
250001604869,MARIA JOSE DE SOUZA,380
250001604871,ALTAIR CAMPANA,297
250001604873,GUILHERME SORICILLO BUNGER,1486
250001604874,VAGNER BERTI,557
250001604875,WELLINGTON MACEDO DE SOUZA,1118
250001604876,JAIR GOMES DA SILVA,488
250001604877,SYLVIO MALHEIRO JUNIOR,2691
250001604878,PAULO SUSSUMU KOBAYASHI,3393
250001604879,RAFAEL ALBANEZ,1429
250001604881,JOEL ANTONIO DE MELLO,186
250001604937,KALED ALI EL MALAT,1499
250001604938,MARIA APARECIDA PINTO,1279
250001604939,MARCO AURELIO BERTAIOLLI,157552
250001604940,VINICIUS SAUDINO DE MORAES,10599
250001604941,SUSANA LAMBERT DE BRITO SILVA,359
250001604942,CÉLIA RAMOS DE JESUS FEITOSA,1910
250001604943,CLAUDIA CARRATO GRANDE,3666
250001604944,AGNALDO CRUZ DE OLIVEIRA,186
250001604945,KARINA CELESTE MOURA,20725
250001604946,EMERSON KAPAZ,3793
250001604947,LUANA DE BRITO TAVARES,3240
250001604948,ANTONIO CEZAR CORREIA FREIRE,143434
250001604949,BRUNO SCAFFIDI,2998
250001604950,CLEBER JACOB,2806
250001604951,SUSANNA DO VAL MOORE,2215
250001604952,TALMA CRISTINA NONAKA,288
250001604953,THIAGO DE AZEVEDO LOPES FONSECA,40477
250001604954,VALDINEI MARCELINO LIMA,485
250001604955,VALÉRIA MEIRELLES MONTEIRO,1225
250001604956,FLÁVIA OLIVITO LANCHA ALVES DE OLIVEIRA,29841
250001604958,ANDRÉ MAXIMILIANO MORON MACHADO,11916
250001604959,DENILSON ROCHA ZIROLDO,5355
250001604960,EDSON MOURA,9866
250001604961,FLÁVIO AUGUSTO DA SILVA,31657
250001604962,WALTER SHINDI IIHOSHI,55027
250001604963,VINICIUS MARCHESE MARINELLI,45933
250001604964,ALESSANDRO DE FREITAS LEONE,2275
250001604965,SAULO PEDROSO DE SOUZA,80186
250001604966,LUÍS EDUARDO ANTUNES VIEIRA,209
250001604967,RICARDO AUGUSTO MACHADO DA SILVA,133936
250001604968,ELIEL MIRANDA,50875
250001604969,ALESSANDRO RUIZ MARTINEZ,8626
250001604970,ELIANA FERNANDES CONCEIÇÃO,1180
250001604971,ADRIANA ALVES DA SILVA RAMALHO,11074
250001604972,GUILHERME CAMPOS JUNIOR,43757
250001604973,ELAINE DOSOLINA FAVERO,100
250001604974,FABIO HENRIQUE DA CONCEIÇÃO,1239
250001604975,FERNANDA FERREIRA DE ARAÚJO,202
250001604976,IOLANDA GOMES RUAS,363
250001604977,JORGE CORRÊA DE ARAUJO,418
250001604978,JOSIANE CRISTINA FRANCISCO PIETRO,453
250001604979,MILTON ANTONIO CASQUEL MONTI,35440
250001604980,PEDRO TADEU BATISTA,1072
250001604981,RENATO TADEU DE OLIVEIRA PAIVA,1176
250001604982,RIBAMAR ANTONIO DA SILVA,65219
250001604983,RICARDO MITSUO NAKAGAWA,12645
250001604984,SILVIO EDUARDO CONEGLIAM PECCIOLI,13164
250001604985,WALLACE COSTA LANDIM,1444
250001604986,MARCELO DA MOTTA BARRICHELLO,1217
250001606060,MARCELO HENRIQUE SILVA,23324
250001606061,SIDNEY LUIZ DA CRUZ,21034
250001606062,HENRI DIAS,2482
250001606063,RICARDO YOSHIO,12804
250001606064,CRISTIANO SALMEIRÃO,11417
250001606065,DANILO MARCO MORGADO SILVA,23943
