Mortalidade Geral
Óbitos Residentes MSP por Idade Detalhada e Distrito Admin residência
Sexo: Masculino
Raça/Cor: Branca
Período:2010-2019
"Idade Detalhada";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Moóca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ignorado";"Total"
"< 1 hora";1;-;1;2;2;-;1;1;2;1;7;-;1;-;1;2;7;5;4;4;3;8;4;3;3;-;4;1;5;6;-;7;2;1;3;5;3;2;3;1;2;17;5;-;7;1;5;1;4;3;3;-;-;2;2;3;-;3;3;2;-;2;2;4;5;1;1;2;3;1;3;-;2;1;4;4;2;6;-;-;-;2;13;2;4;3;3;1;6;-;9;-;2;5;6;3;-;271
"1 hora";2;-;2;-;5;-;-;-;-;2;11;-;8;-;3;2;7;6;4;2;1;6;4;2;8;-;5;2;2;7;3;3;2;1;6;14;6;-;2;-;4;11;3;3;7;4;4;1;-;5;-;-;2;-;1;3;-;1;3;8;1;6;-;6;2;2;1;-;10;1;4;1;2;4;3;-;2;7;2;-;1;2;6;2;-;4;3;1;6;-;3;4;4;5;2;2;3;290
"2 horas";1;-;1;-;1;-;1;1;1;-;3;-;1;-;1;-;1;1;1;1;1;2;2;-;2;-;1;-;-;3;-;-;1;-;-;4;1;-;-;1;-;2;2;-;1;-;1;1;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;1;2;1;1;-;-;-;3;4;2;1;2;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;4;1;-;-;71
"3 horas";1;-;2;1;1;-;-;2;-;-;2;-;-;-;-;-;2;1;2;-;-;1;1;-;-;-;1;1;1;5;-;2;-;-;1;1;-;-;-;-;2;2;3;-;1;1;-;-;1;-;-;-;-;-;1;2;-;-;2;1;-;1;1;1;-;-;-;-;1;-;1;-;1;-;-;-;1;-;1;-;-;-;2;-;-;2;-;-;3;-;2;-;-;-;1;1;-;63
"4 horas";-;-;1;-;1;-;-;1;-;1;3;-;1;-;-;-;3;1;1;-;-;-;-;1;3;-;1;2;-;2;-;-;-;-;1;1;1;-;-;-;3;1;-;-;1;-;2;1;-;-;-;-;-;1;-;1;1;-;1;-;1;-;-;2;-;-;-;1;1;-;1;-;-;1;-;-;1;3;1;-;1;1;4;-;1;-;-;-;1;-;1;-;-;-;-;-;-;58
"5 horas";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;1;1;-;-;2;-;1;2;-;1;-;3;2;1;-;1;1;1;-;-;1;-;-;-;2;1;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;36
"6 horas";1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;3;-;-;2;2;-;-;-;-;-;-;4;1;-;1;-;-;2;1;1;-;-;3;1;-;-;2;-;-;-;-;-;1;-;-;-;-;1;-;1;2;1;1;-;-;1;-;1;-;-;-;1;2;-;-;-;1;-;-;2;-;-;-;-;-;1;-;1;2;-;1;-;1;-;-;-;-;-;-;48
"7 horas";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;1;-;1;1;-;-;-;1;2;-;2;1;-;-;1;1;1;-;1;-;-;2;-;-;-;-;-;-;-;-;27
"8 horas";1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;1;2;1;-;-;-;1;1;1;1;1;1;-;1;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;2;1;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;33
"9 horas";-;-;-;-;-;-;-;-;2;-;3;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;2;-;3;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;1;-;-;1;33
"10 horas";-;1;-;-;1;-;1;-;-;-;1;1;-;-;-;-;1;-;1;-;-;1;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;1;-;2;-;-;1;-;-;-;-;-;29
"11 horas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;1;1;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;1;1;-;1;-;2;-;-;2;-;-;-;30
"12 horas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;2;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;1;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;1;-;1;-;1;-;-;-;-;29
"13 horas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;24
"14 horas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;2;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;14
"15 horas";-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"16 horas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"17 horas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;11
"18 horas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;-;-;15
"19 horas";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"20 horas";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;13
"21 horas";-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"22 horas";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"23 horas";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;23
"< 1 dia, horas ign";3;-;-;-;-;-;1;1;1;1;2;-;4;-;1;4;5;2;5;1;1;8;-;1;6;1;2;-;3;6;-;-;1;1;3;5;2;3;-;3;2;2;-;-;3;-;5;1;2;-;1;-;-;-;-;4;-;-;1;3;2;1;-;2;-;1;1;-;2;2;-;3;-;2;2;2;-;3;-;1;1;1;3;-;2;-;-;3;4;-;1;2;1;1;3;4;-;151
"1 dia";3;-;4;-;5;-;1;2;-;-;16;-;8;2;2;4;8;8;10;1;1;7;6;4;7;2;-;3;8;15;7;9;2;1;12;7;5;-;1;1;6;13;5;2;10;7;7;-;5;3;-;-;1;-;1;11;2;3;8;5;2;3;1;10;2;2;4;1;8;-;5;2;2;4;4;2;7;13;1;-;2;1;7;3;5;7;3;1;6;1;8;2;1;3;6;2;-;392
