cod_distrito;distrito;ano;sexo;faixa_etaria;populacao
80001;Água Rasa;2022;Homens;00 a 04;2114
80001;Água Rasa;2022;Homens;05 a 09;2328
80001;Água Rasa;2022;Homens;10 a 14;2092
80001;Água Rasa;2022;Homens;15 a 19;1960
80001;Água Rasa;2022;Homens;20 a 24;2303
80001;Água Rasa;2022;Homens;25 a 29;2554
80001;Água Rasa;2022;Homens;30 a 34;2853
80001;Água Rasa;2022;Homens;35 a 39;3156
80001;Água Rasa;2022;Homens;40 a 44;3124
80001;Água Rasa;2022;Homens;45 a 49;2857
80001;Água Rasa;2022;Homens;50 a 54;2521
80001;Água Rasa;2022;Homens;55 a 59;2482
80001;Água Rasa;2022;Homens;60 a 64;2386
80001;Água Rasa;2022;Homens;65 a 69;1942
80001;Água Rasa;2022;Homens;70 a 74;1418
80001;Água Rasa;2022;Homens;75 e + ;1966
80001;Água Rasa;2022;Mulheres;00 a 04;2023
80001;Água Rasa;2022;Mulheres;05 a 09;2230
80001;Água Rasa;2022;Mulheres;10 a 14;2021
80001;Água Rasa;2022;Mulheres;15 a 19;1959
80001;Água Rasa;2022;Mulheres;20 a 24;2233
80001;Água Rasa;2022;Mulheres;25 a 29;2538
80001;Água Rasa;2022;Mulheres;30 a 34;2904
80001;Água Rasa;2022;Mulheres;35 a 39;3213
80001;Água Rasa;2022;Mulheres;40 a 44;3452
80001;Água Rasa;2022;Mulheres;45 a 49;3222
80001;Água Rasa;2022;Mulheres;50 a 54;3017
80001;Água Rasa;2022;Mulheres;55 a 59;3109
80001;Água Rasa;2022;Mulheres;60 a 64;3053
80001;Água Rasa;2022;Mulheres;65 a 69;2692
80001;Água Rasa;2022;Mulheres;70 a 74;2244
80001;Água Rasa;2022;Mulheres;75 e + ;3998
80002;Alto de Pinheiros;2022;Homens;00 a 04;753
80002;Alto de Pinheiros;2022;Homens;05 a 09;839
80002;Alto de Pinheiros;2022;Homens;10 a 14;844
80002;Alto de Pinheiros;2022;Homens;15 a 19;860
80002;Alto de Pinheiros;2022;Homens;20 a 24;1003
80002;Alto de Pinheiros;2022;Homens;25 a 29;1174
80002;Alto de Pinheiros;2022;Homens;30 a 34;1311
80002;Alto de Pinheiros;2022;Homens;35 a 39;1351
80002;Alto de Pinheiros;2022;Homens;40 a 44;1435
80002;Alto de Pinheiros;2022;Homens;45 a 49;1352
80002;Alto de Pinheiros;2022;Homens;50 a 54;1231
80002;Alto de Pinheiros;2022;Homens;55 a 59;1307
80002;Alto de Pinheiros;2022;Homens;60 a 64;1273
80002;Alto de Pinheiros;2022;Homens;65 a 69;1140
80002;Alto de Pinheiros;2022;Homens;70 a 74;938
80002;Alto de Pinheiros;2022;Homens;75 e + ;1561
80002;Alto de Pinheiros;2022;Mulheres;00 a 04;718
80002;Alto de Pinheiros;2022;Mulheres;05 a 09;800
80002;Alto de Pinheiros;2022;Mulheres;10 a 14;834
80002;Alto de Pinheiros;2022;Mulheres;15 a 19;854
80002;Alto de Pinheiros;2022;Mulheres;20 a 24;955
80002;Alto de Pinheiros;2022;Mulheres;25 a 29;1107
80002;Alto de Pinheiros;2022;Mulheres;30 a 34;1358
80002;Alto de Pinheiros;2022;Mulheres;35 a 39;1572
80002;Alto de Pinheiros;2022;Mulheres;40 a 44;1729
80002;Alto de Pinheiros;2022;Mulheres;45 a 49;1672
80002;Alto de Pinheiros;2022;Mulheres;50 a 54;1587
80002;Alto de Pinheiros;2022;Mulheres;55 a 59;1717
80002;Alto de Pinheiros;2022;Mulheres;60 a 64;1714
80002;Alto de Pinheiros;2022;Mulheres;65 a 69;1555
80002;Alto de Pinheiros;2022;Mulheres;70 a 74;1369
80002;Alto de Pinheiros;2022;Mulheres;75 e + ;2540
80003;Anhanguera;2022;Homens;00 a 04;3085
80003;Anhanguera;2022;Homens;05 a 09;2998
80003;Anhanguera;2022;Homens;10 a 14;2883
80003;Anhanguera;2022;Homens;15 a 19;3165
80003;Anhanguera;2022;Homens;20 a 24;3967
80003;Anhanguera;2022;Homens;25 a 29;4109
80003;Anhanguera;2022;Homens;30 a 34;3835
80003;Anhanguera;2022;Homens;35 a 39;3464
80003;Anhanguera;2022;Homens;40 a 44;3147
80003;Anhanguera;2022;Homens;45 a 49;3023
80003;Anhanguera;2022;Homens;50 a 54;2942
80003;Anhanguera;2022;Homens;55 a 59;2394
80003;Anhanguera;2022;Homens;60 a 64;1696
80003;Anhanguera;2022;Homens;65 a 69;1110
80003;Anhanguera;2022;Homens;70 a 74;641
80003;Anhanguera;2022;Homens;75 e + ;455
80003;Anhanguera;2022;Mulheres;00 a 04;2946
80003;Anhanguera;2022;Mulheres;05 a 09;2866
80003;Anhanguera;2022;Mulheres;10 a 14;2791
80003;Anhanguera;2022;Mulheres;15 a 19;3064
80003;Anhanguera;2022;Mulheres;20 a 24;3860
80003;Anhanguera;2022;Mulheres;25 a 29;4193
80003;Anhanguera;2022;Mulheres;30 a 34;4005
80003;Anhanguera;2022;Mulheres;35 a 39;3727
80003;Anhanguera;2022;Mulheres;40 a 44;3480
80003;Anhanguera;2022;Mulheres;45 a 49;3355
80003;Anhanguera;2022;Mulheres;50 a 54;3071
80003;Anhanguera;2022;Mulheres;55 a 59;2516
80003;Anhanguera;2022;Mulheres;60 a 64;1830
80003;Anhanguera;2022;Mulheres;65 a 69;1243
80003;Anhanguera;2022;Mulheres;70 a 74;740
80003;Anhanguera;2022;Mulheres;75 e + ;738
80004;Aricanduva;2022;Homens;00 a 04;2405
80004;Aricanduva;2022;Homens;05 a 09;2544
80004;Aricanduva;2022;Homens;10 a 14;2420
80004;Aricanduva;2022;Homens;15 a 19;2482
80004;Aricanduva;2022;Homens;20 a 24;2961
80004;Aricanduva;2022;Homens;25 a 29;3114
80004;Aricanduva;2022;Homens;30 a 34;3226
80004;Aricanduva;2022;Homens;35 a 39;3360
80004;Aricanduva;2022;Homens;40 a 44;3133
80004;Aricanduva;2022;Homens;45 a 49;2857
80004;Aricanduva;2022;Homens;50 a 54;2716
80004;Aricanduva;2022;Homens;55 a 59;2458
80004;Aricanduva;2022;Homens;60 a 64;2173
80004;Aricanduva;2022;Homens;65 a 69;1746
80004;Aricanduva;2022;Homens;70 a 74;1293
80004;Aricanduva;2022;Homens;75 e + ;1681
80004;Aricanduva;2022;Mulheres;00 a 04;2302
80004;Aricanduva;2022;Mulheres;05 a 09;2436
80004;Aricanduva;2022;Mulheres;10 a 14;2328
80004;Aricanduva;2022;Mulheres;15 a 19;2408
80004;Aricanduva;2022;Mulheres;20 a 24;2906
80004;Aricanduva;2022;Mulheres;25 a 29;3077
80004;Aricanduva;2022;Mulheres;30 a 34;3242
80004;Aricanduva;2022;Mulheres;35 a 39;3540
80004;Aricanduva;2022;Mulheres;40 a 44;3470
80004;Aricanduva;2022;Mulheres;45 a 49;3230
80004;Aricanduva;2022;Mulheres;50 a 54;3059
80004;Aricanduva;2022;Mulheres;55 a 59;2923
80004;Aricanduva;2022;Mulheres;60 a 64;2733
80004;Aricanduva;2022;Mulheres;65 a 69;2369
80004;Aricanduva;2022;Mulheres;70 a 74;1967
80004;Aricanduva;2022;Mulheres;75 e + ;3068
80005;Artur Alvim;2022;Homens;00 a 04;2808
80005;Artur Alvim;2022;Homens;05 a 09;2999
80005;Artur Alvim;2022;Homens;10 a 14;2870
80005;Artur Alvim;2022;Homens;15 a 19;2893
80005;Artur Alvim;2022;Homens;20 a 24;3418
80005;Artur Alvim;2022;Homens;25 a 29;3630
80005;Artur Alvim;2022;Homens;30 a 34;3752
80005;Artur Alvim;2022;Homens;35 a 39;4052
80005;Artur Alvim;2022;Homens;40 a 44;3987
80005;Artur Alvim;2022;Homens;45 a 49;3506
80005;Artur Alvim;2022;Homens;50 a 54;2938
80005;Artur Alvim;2022;Homens;55 a 59;2633
80005;Artur Alvim;2022;Homens;60 a 64;2286
80005;Artur Alvim;2022;Homens;65 a 69;1871
80005;Artur Alvim;2022;Homens;70 a 74;1403
80005;Artur Alvim;2022;Homens;75 e + ;1692
80005;Artur Alvim;2022;Mulheres;00 a 04;2682
80005;Artur Alvim;2022;Mulheres;05 a 09;2868
80005;Artur Alvim;2022;Mulheres;10 a 14;2802
80005;Artur Alvim;2022;Mulheres;15 a 19;2835
80005;Artur Alvim;2022;Mulheres;20 a 24;3344
80005;Artur Alvim;2022;Mulheres;25 a 29;3613
80005;Artur Alvim;2022;Mulheres;30 a 34;3923
80005;Artur Alvim;2022;Mulheres;35 a 39;4365
80005;Artur Alvim;2022;Mulheres;40 a 44;4376
80005;Artur Alvim;2022;Mulheres;45 a 49;3990
80005;Artur Alvim;2022;Mulheres;50 a 54;3506
80005;Artur Alvim;2022;Mulheres;55 a 59;3248
80005;Artur Alvim;2022;Mulheres;60 a 64;3079
80005;Artur Alvim;2022;Mulheres;65 a 69;2763
80005;Artur Alvim;2022;Mulheres;70 a 74;2286
80005;Artur Alvim;2022;Mulheres;75 e + ;3198
80006;Barra Funda;2022;Homens;00 a 04;470
80006;Barra Funda;2022;Homens;05 a 09;526
