idade,homens,mulheres
0,43,53
1,134,128
2,147,139
3,139,123
4,172,111
5,150,149
6,152,144
7,135,140
8,127,143
9,108,114
10,136,120
11,146,123
12,144,137
13,154,115
14,146,100
15,133,97
16,131,99
17,157,103
18,128,82
19,144,100
20,124,75
21,125,81
22,115,98
23,136,76
24,157,89
25,123,90
26,126,92
27,114,98
28,158,106
29,144,84
30,161,94
31,156,105
32,139,86
33,162,95
34,140,89
35,140,78
36,111,68
37,114,61
38,89,61
39,97,57
40,84,63
41,73,43
42,68,39
43,69,52
44,56,50
45,59,49
46,55,41
47,45,44
48,53,37
49,61,29
50,35,34
51,59,47
52,37,33
53,44,44
54,37,35
55,45,39
56,49,34
57,33,27
58,43,27
59,33,28
60,35,30
61,38,38
62,25,30
63,21,18
64,25,26
65,28,28
66,22,14
67,20,18
68,24,19
69,24,11
70,23,8
71,17,10
72,11,13
73,14,11
74,13,8
75,16,6
76,9,4
77,3,1
78,6,4
79,6,1
80,0,2
81,3,0
82,5,1
83,2,1
84,1,0
85,1,1
86,0,0
87,0,0
88,3,0
89,0,0
90,0,0
91,0,0
92,0,0
