idade,n_homens,n_mulheres
0,27751.28,26097.97
1,27751.28,26097.97
2,27751.28,26097.97
3,27801.81,26149.60
4,27842.41,26195.69
5,27873.07,26236.23
6,27893.80,26271.23
7,27904.60,26300.68
8,27905.46,26324.58
9,27896.39,26342.94
10,27870.97,26351.17
11,27790.67,26321.72
12,27649.06,26250.00
13,27446.16,26136.02
14,27181.96,25979.77
15,26843.87,25764.20
16,26356.41,25386.99
17,25706.98,24831.08
18,24895.60,24096.48
19,23922.26,23183.17
20,22817.77,22127.14
21,21766.98,21144.18
22,20800.68,20270.27
23,19918.89,19505.40
24,19121.60,18849.58
25,18406.23,18294.59
26,17757.24,17791.16
27,17172.06,17331.08
28,16650.68,16914.36
29,16193.10,16540.99
30,15773.82,16187.78
31,15239.82,15715.63
32,14565.59,15101.35
33,13751.13,14344.94
34,12796.44,13446.40
35,11740.61,12443.60
36,10818.15,11563.71
37,10068.14,10844.59
38,9490.59,10286.26
39,9085.50,9888.70
40,8825.79,9626.31
41,8549.08,9345.37
42,8228.28,9020.27
43,7863.40,8651.01
44,7454.45,8237.59
45,7012.30,7790.45
46,6602.22,7372.19
47,6235.09,6993.24
48,5910.92,6653.61
49,5629.70,6353.30
50,5390.03,6087.75
51,5183.44,5829.61
52,5008.52,5574.32
53,4865.27,5321.89
54,4753.70,5072.32
55,4667.29,4826.30
56,4567.01,4587.99
57,4446.34,4358.11
58,4305.28,4136.64
59,4143.83,3923.58
60,3963.62,3717.31
61,3774.30,3507.96
62,3577.51,3293.92
63,3373.24,3075.17
64,3161.49,2851.72
65,2945.22,2626.63
66,2742.19,2418.27
67,2555.37,2229.73
68,2384.75,2060.99
69,2230.34,1912.06
70,2089.11,1780.37
71,1942.92,1650.63
72,1788.76,1520.27
73,1626.61,1389.29
74,1456.48,1257.70
75,1281.28,1127.61
76,1118.49,1011.73
77,971.04,912.16
78,838.91,828.92
79,722.11,762.00
80,620.50,709.36
81,533.16,658.74
82,459.97,608.11
83,400.91,557.46
84,355.98,506.79
85,323.17,456.10
86,290.36,405.41
87,255.54,354.73
88,218.69,304.05
89,179.82,253.37
90,138.94,202.69
91,96.03,152.02
92,51.11,101.35
