ano,area_km2
1988,21050.00
1989,17770.00
1990,13730.00
1991,11030.00
1992,13786.00
1993,14896.00
1994,14896.00
1995,29059.00
1996,18161.00
1997,13227.00
1998,17383.00
1999,17259.00
2000,18226.00
2001,18165.00
2002,21650.00
2003,25396.00
2004,27772.00
2005,19014.00
2006,14286.00
2007,11651.00
2008,12911.00
2009,7464.00
2010,7000.00
2011,6418.00
2012,4571.00
2013,5891.00
2014,5012.00
2015,6207.00
2016,7893.00
2017,6947.00
2018,7536.00
2019,10129.00
2020,10851.00
2021,13038.00
2022,11594.00
2023,9001.00
