mes,indice_ipca
2023-07-01,1718.4101
2023-06-01,1716.3505
2023-05-01,1717.7247
2023-04-01,1713.783
2023-03-01,1703.3923
2023-02-01,1691.3834
2023-01-01,1677.2942
2022-12-01,1668.4514
2022-11-01,1658.1707
2022-10-01,1651.4
2022-09-01,1641.7139
2022-08-01,1646.4887
2022-07-01,1652.4375
2022-06-01,1663.751
2022-05-01,1652.678
2022-04-01,1644.9468
2022-03-01,1627.6932
2022-02-01,1601.745
2022-01-01,1585.7291
2021-12-01,1577.2121
2021-11-01,1565.7819
2021-10-01,1551.047
2021-09-01,1531.8983
2021-08-01,1514.332
2021-07-01,1501.271
2021-06-01,1486.9958
2021-05-01,1479.1563
2021-04-01,1466.9803
2021-03-01,1462.4467
2021-02-01,1448.9713
2021-01-01,1436.6164
2020-12-01,1433.0338
2020-11-01,1413.9456
2020-10-01,1401.4725
2020-09-01,1389.5226
2020-08-01,1380.6862
2020-07-01,1377.3805
2020-06-01,1372.4397
2020-05-01,1368.8806
2020-04-01,1374.1021
2020-03-01,1378.3751
2020-02-01,1377.411
2020-01-01,1373.976
2019-12-01,1371.0966
2019-11-01,1355.5083
2019-10-01,1348.6303
2019-09-01,1347.283
2019-08-01,1347.8221
2019-07-01,1346.3411
2019-06-01,1343.7879
2019-05-01,1343.6536
2019-04-01,1341.9091
2019-03-01,1334.3036
2019-02-01,1324.3708
2019-01-01,1318.7004
2018-12-01,1314.494
2018-11-01,1312.5252
2018-10-01,1315.2873
2018-09-01,1309.3951
2018-08-01,1303.14
2018-07-01,1304.3139
2018-06-01,1300.0238
2018-05-01,1283.8473
2018-04-01,1278.7324
2018-03-01,1275.9254
2018-02-01,1274.7781
2018-01-01,1270.7118
2017-12-01,1267.0374
2017-11-01,1261.4869
2017-10-01,1257.9646
2017-09-01,1252.7032
2017-08-01,1250.7021
2017-07-01,1248.3303
2017-06-01,1245.3415
2017-05-01,1248.2124
2017-04-01,1244.3549
2017-03-01,1242.6152
2017-02-01,1239.5164
2017-01-01,1235.4394
2016-12-01,1230.7625
2016-11-01,1227.0813
2016-10-01,1224.8765
2016-09-01,1221.7001
2016-08-01,1220.7235
2016-07-01,1215.3758
2016-06-01,1209.0886
2016-05-01,1204.8715
2016-04-01,1195.5462
2016-03-01,1188.2976
2016-02-01,1183.2098
2016-01-01,1172.6559
2015-12-01,1157.95
2015-11-01,1146.9394
2015-10-01,1135.4711
2015-09-01,1126.236
