ano,sexo,raça,liquido
1999,Homem,Branca,6527.2
1999,Homem,Negra,4768.7
1999,Mulher,Branca,5261.6
1999,Mulher,Negra,4010.0
2000,Homem,Branca,5690.3
2000,Homem,Negra,4151.7
2000,Mulher,Branca,4887.3
2000,Mulher,Negra,3782.5
2001,Homem,Branca,5833.8
2001,Homem,Negra,4107.2
2001,Mulher,Branca,4997.5
2001,Mulher,Negra,3734.5
2002,Homem,Branca,6407.0
2002,Homem,Negra,4489.6
2002,Mulher,Branca,5429.7
2002,Mulher,Negra,4069.7
2003,Homem,Branca,6133.3
2003,Homem,Negra,4297.4
2003,Mulher,Branca,5171.9
2003,Mulher,Negra,3856.7
2004,Homem,Branca,5902.9
2004,Homem,Negra,4372.2
2004,Mulher,Branca,4963.7
2004,Mulher,Negra,3862.0
2005,Homem,Branca,6314.4
2005,Homem,Negra,4558.0
2005,Mulher,Branca,5298.2
2005,Mulher,Negra,4036.4
2006,Homem,Branca,6227.3
2006,Homem,Negra,4368.9
2006,Mulher,Branca,5269.9
2006,Mulher,Negra,3958.6
2007,Homem,Branca,7049.0
2007,Homem,Negra,4815.0
2007,Mulher,Branca,5822.3
2007,Mulher,Negra,4311.5
2008,Homem,Branca,7220.2
2008,Homem,Negra,4914.5
2008,Mulher,Branca,5946.1
2008,Mulher,Negra,4352.3
2009,Homem,Branca,8347.7
2009,Homem,Negra,5653.5
2009,Mulher,Branca,7049.5
2009,Mulher,Negra,5127.9
2010,Homem,Branca,9115.6
2010,Homem,Negra,6316.7
2010,Mulher,Branca,8005.6
2010,Mulher,Negra,5975.1
2011,Homem,Branca,9200.9
2011,Homem,Negra,6330.2
2011,Mulher,Branca,8153.7
2011,Mulher,Negra,6083.6
2012,Homem,Branca,8757.8
2012,Homem,Negra,6110.5
2012,Mulher,Branca,7843.2
2012,Mulher,Negra,5905.8
2013,Homem,Branca,8832.8
2013,Homem,Negra,6195.6
2013,Mulher,Branca,7964.9
2013,Mulher,Negra,6045.5
2014,Homem,Branca,9279.1
2014,Homem,Negra,6532.7
2014,Mulher,Branca,8321.2
2014,Mulher,Negra,6335.1
2015,Homem,Branca,8996.8
2015,Homem,Negra,6304.3
2015,Mulher,Branca,7953.9
2015,Mulher,Negra,6047.9
2016,Homem,Branca,8506.6
2016,Homem,Negra,6110.6
2016,Mulher,Branca,7647.4
2016,Mulher,Negra,5875.2
2017,Homem,Branca,9186.3
2017,Homem,Negra,6591.9
2017,Mulher,Branca,8144.7
2017,Mulher,Negra,6239.3
2018,Homem,Branca,8893.2
2018,Homem,Negra,6403.8
2018,Mulher,Branca,7952.3
2018,Mulher,Negra,6048.9
2019,Homem,Branca,9044.7
2019,Homem,Negra,6454.7
2019,Mulher,Branca,7977.5
2019,Mulher,Negra,5996.2
2020,Homem,Branca,8774.2
2020,Homem,Negra,6272.2
2020,Mulher,Branca,7753.8
2020,Mulher,Negra,5815.5
